config,sent,recall,precision
"(0.3, 0.7, 0.1)",0.2043105841411028,0.597215040260028,0.45297660736797873
"(0.3, 0.7, 0.3)",0.26600728638110693,0.5704735170274063,0.3323363601153333
"(0.3, 0.9, 0.1)",0.2053408658372899,0.5980460958853513,0.45133101045296165
"(0.3, 0.9, 0.3)",0.2670776345877013,0.5701041589717072,0.33079016737746725
"(0.3, 1.1, 0.1)",0.2505473371510994,0.6840880549604786,0.42311470541201196
"(0.3, 1.1, 0.3)",0.2727813885335371,0.5801322301839403,0.3295703719246708
"(0.3, 1.3, 0.1)",0.8703619436836577,0.8078599394252789,0.1438374857375847
"(0.3, 1.3, 0.3)",0.795082694415587,0.7369247248282486,0.14363051937066487
"(0.5, 0.7, 0.1)",0.20555550785732887,0.6017581443451282,0.4536581970066133
"(0.5, 0.7, 0.3)",0.26542918387380193,0.5677033316096624,0.33144286546050505
"(0.5, 0.9, 0.1)",0.2040186709938498,0.5941309004949398,0.451282123218494
"(0.5, 0.9, 0.3)",0.2695159679353441,0.5741855654871832,0.33014420115955573
"(0.5, 1.1, 0.1)",0.21783303140355847,0.6251200413681023,0.4447086645207909
"(0.5, 1.1, 0.3)",0.2684026913247419,0.5731144271256556,0.3308951324838727
"(0.5, 1.3, 0.1)",0.22122437532017436,0.627059171160523,0.4392496765847348
"(0.5, 1.3, 0.3)",0.2743983584178307,0.5845460589495457,0.3301209845640384
"(0.7, 0.7, 0.1)",0.19820616509119424,0.5882396395065377,0.45991018958372437
"(0.7, 0.7, 0.3)",0.2676013611165964,0.5745364556400975,0.3327094807764291
"(0.7, 0.9, 0.1)",0.8685160223113225,0.7842579596661003,0.13993198803200252
"(0.7, 0.9, 0.3)",0.790434979208343,0.7284848932555219,0.1428204190547914
"(0.7, 1.1, 0.1)",0.8702446060460364,0.7854214375415528,0.1398612207313865
"(0.7, 1.1, 0.3)",0.7876732518838414,0.7222796779197754,0.1421003676951473
"(0.7, 1.3, 0.1)",0.2008877593948812,0.5938169461475955,0.45807333960167534
"(0.7, 1.3, 0.3)",0.27493353252112795,0.5814249833788875,0.32771919597780713
"(0.9, 0.7, 0.1)",0.8038315031523758,0.4542734727044397,0.08757663578686528
"(0.9, 0.7, 0.3)",0.7277194428465539,0.42684863706877446,0.09089622029345719
"(0.9, 0.9, 0.1)",0.7975467848056345,0.4344389451133929,0.08441283488470565
"(0.9, 0.9, 0.3)",0.7250206771812637,0.42189923912240523,0.09017668235071209
"(0.9, 1.1, 0.1)",0.7961043904309726,0.4186119524266824,0.08148496983902162
"(0.9, 1.1, 0.3)",0.7259364831334301,0.4190367141907365,0.0894518560570221
"(0.9, 1.3, 0.1)",0.8750955156989173,0.7939166728226342,0.14059030332761016
"(0.9, 1.3, 0.3)",0.7884431012623813,0.7212454753638177,0.14175834945571095
