config,sent,recall,precision
"(0.3, 0.7, 0.1)",0.2259158532697949,0.48683513838748493,0.09032211972101414
"(0.3, 0.7, 0.3)",0.29356935629002257,0.47432009626955474,0.06772043158545804
"(0.3, 0.9, 0.1)",0.21990364323787773,0.47167268351383873,0.08990155692358505
"(0.3, 0.9, 0.3)",0.300263488130929,0.47619735258724427,0.06647270674873008
"(0.3, 1.1, 0.1)",0.8008102360902074,0.5141275571600481,0.026909162366978392
"(0.3, 1.1, 0.3)",0.7113110249405841,0.5304933814681108,0.03125930674169732
"(0.3, 1.3, 0.1)",0.8127156224654903,0.5245246690734056,0.02705118052573176
"(0.3, 1.3, 0.3)",0.7060917003256277,0.5133574007220216,0.030473169895422595
"(0.5, 0.7, 0.1)",0.24616368544439915,0.4903008423586041,0.0834829075590306
"(0.5, 0.7, 0.3)",0.2861529522372281,0.462575210589651,0.06775526319500261
"(0.5, 0.9, 0.1)",0.23660063995738997,0.48211793020457283,0.08540755331576748
"(0.5, 0.9, 0.3)",0.28070161280560385,0.45338146811071,0.06769830089411494
"(0.5, 1.1, 0.1)",0.2689192951591622,0.33540312876052947,0.05227620562374336
"(0.5, 1.1, 0.3)",0.2635446214930456,0.39061371841155235,0.062122975166120586
"(0.5, 1.3, 0.1)",0.7801689874873401,0.48567990373044523,0.026092780652552258
"(0.5, 1.3, 0.3)",0.7029080535369145,0.49877256317689533,0.029741505502264624
"(0.7, 0.7, 0.1)",0.23930411695160775,0.48851985559566785,0.08556397696711153
"(0.7, 0.7, 0.3)",0.28237010196546813,0.4510228640192539,0.06694817768060646
"(0.7, 0.9, 0.1)",0.23416347562230408,0.4586281588447653,0.08209193124542283
"(0.7, 0.9, 0.3)",0.2949755678310448,0.4619494584837545,0.06563981204730279
"(0.7, 1.1, 0.1)",0.2068502879001247,0.3387725631768953,0.06864533244901343
"(0.7, 1.1, 0.3)",0.2774352476909482,0.403898916967509,0.06101968541156109
"(0.7, 1.3, 0.1)",0.21737569049626962,0.29367027677496993,0.056624962874962874
"(0.7, 1.3, 0.3)",0.28383885663098346,0.3971600481347774,0.05864792056124589
"(0.9, 0.7, 0.1)",0.19896985421399432,0.4434175691937425,0.09340809766682552
"(0.9, 0.7, 0.3)",0.2845974442054804,0.4567509025270758,0.06726781650751791
"(0.9, 0.9, 0.1)",0.23682861973376804,0.45261131167268354,0.0801032491097746
"(0.9, 0.9, 0.3)",0.288688975059416,0.4581468110709988,0.06651711148849333
"(0.9, 1.1, 0.1)",0.23241226813649735,0.4269554753309266,0.07699853294790662
"(0.9, 1.1, 0.3)",0.28025170581328257,0.43942238267148015,0.06571928384769886
"(0.9, 1.3, 0.1)",0.21824322415859324,0.3651985559566787,0.07013700149758723
"(0.9, 1.3, 0.3)",0.29537503681974264,0.43793020457280385,0.06214268638366176
